city,temp_1,temp_2,hum_1,hum_2,rain_1,rain_2,tour
Beijing,"The hot season lasts for 4.4 months, from May 9 to September 20, with an average daily high temperature above 25°C. The hottest day of the year is July 16, with an average high of 31°C and low of 23°C.","The cold season lasts for 3.0 months, from November 25 to February 24, with an average daily high temperature below 7°C. The coldest day of the year is January 11, with an average low of -8°C and high of 1°C.","The muggier period of the year lasts for 3.0 months, from June 12 to September 11, during which time the comfort level is muggy, oppressive, or miserable at least 22% of the time. The muggiest day of the year is July 29, with muggy conditions 88% of the time.","The least muggy day of the year is February 17, when muggy conditions are essentially unheard of.","The rainy period of the year lasts for 6.7 months, from April 7 to October 28, with a sliding 31-day rainfall of at least 13 millimeters. The most rain falls during the 31 days centered around July 24, with an average total accumulation of 138 millimeters.","The rainless period of the year lasts for 5.3 months, from October 28 to April 7. The least rain falls around January 12, with an average total accumulation of 0 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best times of year to visit Beijing for general outdoor tourist activities are from mid May to late June and from mid August to late September, with a peak score in the first week of September."
Shanghai,"The hot season lasts for 3.0 months, from June 17 to September 15, with an average daily high temperature above 27°C. The hottest day of the year is July 28, with an average high of 32°C and low of 26°C.","The cool season lasts for 3.2 months, from December 5 to March 13, with an average daily high temperature below 12°C. The coldest day of the year is January 20, with an average low of 1°C and high of 7°C.","The muggier period of the year lasts for 4.7 months, from May 18 to October 8, during which time the comfort level is muggy, oppressive, or miserable at least 25% of the time. The muggiest day of the year is July 25, with muggy conditions 100% of the time.","The least muggy day of the year is January 29, when muggy conditions are essentially unheard of.","Rain falls throughout the year in Shanghai. The most rain falls during the 31 days centered around June 25, with an average total accumulation of 172 millimeters.","The least rain falls around December 20, with an average total accumulation of 32 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best time of year to visit Shanghai for general outdoor tourist activities is from mid September to mid October, with a peak score in the first week of October."
Tokyo,"The hot season lasts for 2.7 months, from June 27 to September 18, with an average daily high temperature above 26°C. The hottest day of the year is August 9, with an average high of 31°C and low of 25°C.","The cool season lasts for 3.5 months, from December 4 to March 20, with an average daily high temperature below 13°C. The coldest day of the year is January 26, with an average low of 2°C and high of 9°C.","The muggier period of the year lasts for 3.6 months, from June 11 to September 29, during which time the comfort level is muggy, oppressive, or miserable at least 23% of the time. The muggiest day of the year is August 8, with muggy conditions 91% of the time.","The least muggy day of the year is December 27, when muggy conditions are essentially unheard of.","Rain falls throughout the year in Tokyo. The most rain falls during the 31 days centered around September 24, with an average total accumulation of 192 millimeters.","The least rain falls around December 30, with an average total accumulation of 43 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best times of year to visit Tokyo for general outdoor tourist activities are from mid May to mid June and from early September to late October, with a peak score in the first week of October."
Kuala Lumpur,"The hot season lasts for 3.3 months, from February 13 to May 23, with an average daily high temperature above 33°C. The hottest day of the year is March 14, with an average high of 33°C and low of 24°C.","The cool season lasts for 2.0 months, from November 3 to January 5, with an average daily high temperature below 32°C. The coldest day of the year is January 18, with an average low of 23°C and high of 32°C.","The perceived humidity level in Kuala Lumpur, as measured by the percentage of time in which the humidity comfort level is muggy, oppressive, or miserable, does not vary significantly over the course of the year, staying within 0% of 100% throughout.",,"Rain falls throughout the year in Kuala Lumpur. The most rain falls during the 31 days centered around November 14, with an average total accumulation of 271 millimeters.","The least rain falls around June 25, with an average total accumulation of 112 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best times of year to visit Kuala Lumpur for general outdoor tourist activities are from mid July to mid August and from mid December to mid March, with a peak score in the second week of February."
Paris,"The warm season lasts for 2.9 months, from June 13 to September 10, with an average daily high temperature above 22°C. The hottest day of the year is August 4, with an average high of 25°C and low of 15°C.","The cool season lasts for 3.7 months, from November 16 to March 7, with an average daily high temperature below 10°C. The coldest day of the year is February 8, with an average low of 2°C and high of 7°C.","Unlike temperature, which typically varies significantly between night and day, dew point tends to change more slowly, so while the temperature may drop at night, a muggy day is typically followed by a muggy night.","The perceived humidity level in Paris, as measured by the percentage of time in which the humidity comfort level is muggy, oppressive, or miserable, does not vary significantly over the course of the year, staying within 2% of 2% throughout.","Rain falls throughout the year in Paris. The most rain falls during the 31 days centered around May 31, with an average total accumulation of 46 millimeters.","The least rain falls around March 4, with an average total accumulation of 30 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best time of year to visit Paris for general outdoor tourist activities is from mid June to mid September, with a peak score in the last week of July."
Dubai,"The hot season lasts for 4.3 months, from May 14 to September 24, with an average daily high temperature above 38°C. The hottest day of the year is August 2, with an average high of 41°C and low of 30°C.","The cool season lasts for 3.1 months, from December 3 to March 5, with an average daily high temperature below 27°C. The coldest day of the year is January 15, with an average low of 14°C and high of 24°C.","The muggier period of the year lasts for 7.3 months, from April 13 to November 22, during which time the comfort level is muggy, oppressive, or miserable at least 23% of the time. The muggiest day of the year is July 29, with muggy conditions 89% of the time.","The least muggy day of the year is January 16, with muggy conditions 1% of the time.","The rainy period of the year lasts for 2.4 months, from January 6 to March 18, with a sliding 31-day rainfall of at least 13 millimeters. The most rain falls during the 31 days centered around February 5, with an average total accumulation of 17 millimeters.","The rainless period of the year lasts for 9.6 months, from March 18 to January 6. The least rain falls around August 22, with an average total accumulation of 0 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best time of year to visit Dubai for general outdoor tourist activities is from mid November to late March, with a peak score in the third week of December."
New York,"The warm season lasts for 3.5 months, from June 2 to September 16, with an average daily high temperature above 24°C. The hottest day of the year is July 21, with an average high of 29°C and low of 22°C.","The cold season lasts for 3.3 months, from December 3 to March 12, with an average daily high temperature below 9°C. The coldest day of the year is January 29, with an average low of -2°C and high of 4°C.","The muggier period of the year lasts for 3.8 months, from June 3 to September 27, during which time the comfort level is muggy, oppressive, or miserable at least 14% of the time. The muggiest day of the year is August 2, with muggy conditions 54% of the time.","The least muggy day of the year is December 24, when muggy conditions are essentially unheard of.","Rain falls throughout the year in New York City. The most rain falls during the 31 days centered around April 16, with an average total accumulation of 95 millimeters.","The least rain falls around February 7, with an average total accumulation of 55 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best times of year to visit New York City for general outdoor tourist activities are from mid June to early July and from early August to late September, with a peak score in the first week of September."
Los Angeles,"The warm season lasts for 2.9 months, from July 1 to September 30, with an average daily high temperature above 27°C. The hottest day of the year is August 25, with an average high of 29°C and low of 19°C.","The cool season lasts for 3.9 months, from November 26 to March 23, with an average daily high temperature below 21°C. The coldest day of the year is December 25, with an average low of 9°C and high of 19°C.","Unlike temperature, which typically varies significantly between night and day, dew point tends to change more slowly, so while the temperature may drop at night, a muggy day is typically followed by a muggy night.","The perceived humidity level in Los Angeles, as measured by the percentage of time in which the humidity comfort level is muggy, oppressive, or miserable, does not vary significantly over the course of the year, staying within 4% of 4% throughout.","The rainy period of the year lasts for 6.3 months, from October 16 to April 25, with a sliding 31-day rainfall of at least 13 millimeters. The most rain falls during the 31 days centered around February 18, with an average total accumulation of 85 millimeters.","The rainless period of the year lasts for 5.7 months, from April 25 to October 16. The least rain falls around July 6, with an average total accumulation of 1 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best time of year to visit Los Angeles for general outdoor tourist activities is from late May to mid October, with a peak score in the first week of July."
Sydney,"The warm season lasts for 3.9 months, from November 26 to March 22, with an average daily high temperature above 25°C. The hottest day of the year is January 25, with an average high of 27°C and low of 20°C.","The cool season lasts for 2.8 months, from May 29 to August 22, with an average daily high temperature below 19°C. The coldest day of the year is July 19, with an average low of 8°C and high of 17°C.","The muggier period of the year lasts for 4.1 months, from November 30 to April 1, during which time the comfort level is muggy, oppressive, or miserable at least 10% of the time. The muggiest day of the year is February 5, with muggy conditions 41% of the time.","The least muggy day of the year is July 11, when muggy conditions are essentially unheard of.","Rain falls throughout the year in Sydney. The most rain falls during the 31 days centered around February 7, with an average total accumulation of 107 millimeters.","The least rain falls around September 4, with an average total accumulation of 45 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best time of year to visit Sydney for general outdoor tourist activities is from late November to early April, with a peak score in the last week of December."
Sao Paulo,"The warm season lasts for 3.4 months, from December 11 to March 24, with an average daily high temperature above 27°C. The hottest day of the year is February 12, with an average high of 28°C and low of 21°C.","The cool season lasts for 2.9 months, from May 13 to August 11, with an average daily high temperature below 23°C. The coldest day of the year is July 23, with an average low of 13°C and high of 22°C.","The muggier period of the year lasts for 5.6 months, from November 3 to April 22, during which time the comfort level is muggy, oppressive, or miserable at least 16% of the time. The muggiest day of the year is February 13, with muggy conditions 65% of the time.","The least muggy day of the year is July 14, when muggy conditions are essentially unheard of.","Rain falls throughout the year in São Paulo. The most rain falls during the 31 days centered around January 25, with an average total accumulation of 221 millimeters.","The least rain falls around August 8, with an average total accumulation of 37 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best times of year to visit São Paulo for general outdoor tourist activities are from early April to early July and from late July to mid September, with a peak score in the first week of May."
Seoul,"The hot season lasts for 4.0 months, from May 25 to September 24, with an average daily high temperature above 24°C. The hottest day of the year is August 4, with an average high of 30°C and low of 24°C.","The cold season lasts for 2.9 months, from December 1 to February 28, with an average daily high temperature below 7°C. The coldest day of the year is January 18, with an average low of -6°C and high of 1°C.","The muggier period of the year lasts for 2.9 months, from June 17 to September 14, during which time the comfort level is muggy, oppressive, or miserable at least 23% of the time. The muggiest day of the year is August 3, with muggy conditions 91% of the time.","The least muggy day of the year is February 22, when muggy conditions are essentially unheard of.","The rainy period of the year lasts for 11 months, from January 25 to December 31, with a sliding 31-day rainfall of at least 13 millimeters. The most rain falls during the 31 days centered around July 17, with an average total accumulation of 295 millimeters.","The rainless period of the year lasts for 3.6 weeks, from December 31 to January 25. The least rain falls around January 16, with an average total accumulation of 12 millimeters.","The tourism score favors clear, rainless days with perceived temperatures between 18°C and 27°C. Based on this score, the best times of year to visit Seoul for general outdoor tourist activities are from late May to early July and from late August to early October, with a peak score in the second week of June."
