Country,City,Year,Month,Average Temperature,Maximum temperature,Minimum temperature ,Average relative humidity,Total rainfall,Rain,Snow,Storm,Score
China,Beijing,2017,1,-2.2,3.4,-8.5,47.1,0.3,1,7,0,36.76
China,Beijing,2017,2,-2.1,8.3,-5.2,34.2,5.3,1,2,0,39.00
China,Beijing,2017,3,8.5,14.3,0.5,37.0,15.0,6,1,0,51.01
China,Beijing,2017,4,17.1,24.1,7.7,33.8,0.0,3,0,0,61.04
China,Beijing,2017,5,23.2,29.9,14.5,31.5,6.5,6,0,1,67.82
China,Beijing,2017,6,25.5,31.5,18.2,49.6,146.6,15,0,5,72.38
China,Beijing,2017,7,27.2,31.8,22.6,75.8,102.6,17,0,8,77.90
China,Beijing,2017,8,25.7,31.1,20.7,72.5,328.4,16,0,8,75.20
China,Beijing,2017,9,21.8,28.4,15.2,62.4,2.5,6,0,2,68.50
China,Beijing,2017,10,12.3,17.5,7.2,70.9,76.2,12,0,0,54.76
China,Beijing,2017,11,3.2,9.8,-3.4,42.8,0.0,0,0,0,44.13
China,Beijing,2017,12,-1.2,4.8,-8.0,39.6,0.0,0,1,0,39.19
China,Beijing,2018,1,-3.8,1.6,-9.9,33.5,0.0,0,1,0,37.17
China,Beijing,2018,2,-1.4,5.0,-8.9,32.8,0.0,0,0,0,40.02
China,Beijing,2018,3,7.9,14.0,0.3,41.4,7.9,0,1,0,50.02
China,Beijing,2018,4,15.4,21.3,8.1,47.2,54.9,8,1,2,59.22
China,Beijing,2018,5,22.0,28.2,14.0,46.9,12.7,9,0,2,67.63
China,Beijing,2018,6,26.7,33.2,19.5,51.2,45.2,14,0,8,74.14
China,Beijing,2018,7,27.8,32.2,23.9,76.7,364.8,20,0,9,78.96
China,Beijing,2018,8,27.4,32.1,22.8,71.9,136.7,14,0,8,77.72
China,Beijing,2018,9,20.3,26.1,14.0,55.4,40.7,8,0,2,65.95
China,Beijing,2018,10,12.3,19.9,4.7,47.6,8.4,5,0,1,55.25
China,Beijing,2018,11,5.4,12.1,-1.4,53.0,0.8,2,0,0,45.93
China,Beijing,2018,12,-3.0,2.7,-10.2,30.9,0.5,2,0,0,38.53
Australian,Sydney,2017,1,24.7,29.1,20.8,63.2,50.0,6,0,0,72.72
Australian,Sydney,2017,2,24.3,28.0,20.4,64.5,229.4,9,0,0,72.28
Australian,Sydney,2017,3,22.2,24.9,19.4,73.1,298.7,16,0,0,69.89
Australian,Sydney,2017,4,18.7,23.0,14.0,63.9,68.6,7,0,0,64.14
Australian,Sydney,2017,5,16.3,20.8,11.9,64.4,29.7,4,0,0,60.69
Australian,Sydney,2017,6,13.7,17.7,9.7,71.5,175.5,12,0,0,56.87
Australian,Sydney,2017,7,13.4,18.7,18.0,52.4,18.8,2,0,0,56.61
Australian,Sydney,2017,8,14.1,18.9,8.9,49.6,18.3,3,0,0,57.55
Australian,Sydney,2017,9,17.5,22.6,11.0,42.1,0.3,0,0,0,61.75
Australian,Sydney,2017,10,19.4,23.5,15.1,63.7,63.5,6,0,0,65.14
Australian,Sydney,2017,11,20.1,23.2,16.6,63.6,57.6,8,0,0,66.14
Australian,Sydney,2017,12,23.1,28.0,19.4,64.5,41.4,9,0,0,70.54
Australian,Sydney,2018,1,23.3,27.4,19.5,65.4,37.9,6,0,0,70.91
Australian,Sydney,2018,2,23.1,26.4,19.2,63.2,112.5,7,0,0,70.43
Australian,Sydney,2018,3,22.5,26.2,18.6,64.1,113.0,11,0,0,69.64
Australian,Sydney,2018,4,21.3,25.4,17.4,62.2,23.6,4,0,0,67.77
Australian,Sydney,2018,5,16.1,21.0,11.2,59.5,22.9,4,0,0,60.32
Australian,Sydney,2018,6,13.0,17.3,9.2,69.6,144.5,15,0,0,55.83
Australian,Sydney,2018,7,13.5,19.3,7.7,50.1,11.4,2,0,0,56.77
Australian,Sydney,2018,8,13.8,18.4,8.7,48.8,9.7,3,0,0,57.17
Australian,Sydney,2018,9,15.9,20.6,10.7,59.7,48.3,10,0,0,60.04
Australian,Sydney,2018,10,18.0,21.4,14.6,71.1,138.7,14,0,0,63.38
Australian,Sydney,2018,11,20.4,24.2,16.4,61.3,166.6,7,0,0,66.44
Australian,Sydney,2018,12,22.6,26.3,19.0,66.6,104.1,9,0,0,69.98
USA,New York,2017,1,2.5,6.0,-0.2,52.3,73.7,8,3,0,42.14
USA,New York,2017,2,2.2,6.4,-1.0,59.9,111.8,11,5,0,40.82
USA,New York,2017,3,5.5,10.3,2.1,52.4,111.5,13,1,0,46.11
